loan_id,customer_id,product_type,loan_amount,outstanding_balance,ltv,days_past_due,default_flag,pd,lgd,ead,last_update_days
L00020,C00020,personal loan,12158.04,5948.68,0.305,15,False,0.149,0.58,6445.43,24
L00021,C00021,SME loan,57461.94,41354.52,0.747,0,False,0.08219,0.48,45381.37,37
L00022,C00022,personal loan,28883.15,20465.47,0.61,0,False,0.13952,0.58,21138.89,33
L00023,C00023,SME loan,71485.65,48798.68,0.553,0,False,0.13063,0.48,54470.42,42
L00024,C00024,SME loan,18591.53,7587.89,0.828,0,False,0.02879,0.5149,10338.8,2
L00025,C00025,mortgage,26891.41,21199.91,0.9,0,False,0.00789,0.2876,21313.74,62
L00026,C00026,mortgage,50092.2,18850.09,0.858,0,False,0.01885,0.2687,19474.93,37
L00027,C00027,credit card,18156.24,11505.42,0.668,95,True,0.31432,0.72,15163.37,11
L00028,C00028,mortgage,472801.69,416614.27,1.049,0,False,0.03801,0.3546,417738.02,17
L00029,C00029,personal loan,113707.59,53019.1,0.615,0,False,0.01177,0.58,57874.18,44
L00030,C00030,mortgage,88991.21,47642.03,0.831,0,False,0.03713,0.2564,48469.01,46
L00031,C00031,personal loan,65144.92,35706.2,0.635,15,False,0.08113,0.58,38061.3,23
L00032,C00032,mortgage,70708.24,63636.55,0.411,0,False,0.23207,0.22,63777.98,72
L00033,C00033,personal loan,44106.67,14643.44,0.74,0,False,0.02251,0.58,17000.5,23
L00034,C00034,personal loan,58750.43,18151.01,0.581,0,False,0.08562,0.58,21398.96,64
L00035,C00035,mortgage,41295.76,19603.38,0.761,15,True,0.08803,0.2247,20037.23,63
L00036,C00036,personal loan,22877.73,16378.91,0.929,0,False,0.08349,0.6604,16898.82,12
L00037,C00037,personal loan,42786.0,40485.84,0.876,0,False,0.01921,0.6367,40669.86,31
L00038,C00038,mortgage,140292.6,66223.77,0.874,0,False,0.01431,0.2758,67705.14,68
L00039,C00039,personal loan,62175.86,37059.62,1.008,31,False,0.21034,0.6962,39068.92,47
L00040,C00040,personal loan,160108.5,91809.19,0.557,15,False,0.57404,0.58,97273.14,39
L00041,C00041,mortgage,102299.12,62741.89,0.573,15,False,0.47083,0.22,63533.04,67
L00042,C00042,personal loan,255772.67,99664.89,0.884,5,False,0.13574,0.6403,112153.52,61
L00043,C00043,mortgage,57996.73,19009.04,0.83,0,False,0.08003,0.2561,19788.8,3
L00044,C00044,personal loan,55716.82,27108.69,0.535,0,False,0.29419,0.58,29397.34,8
L00045,C00045,mortgage,36561.38,12326.3,0.515,31,False,0.09878,0.22,12811.0,42
L00046,C00046,personal loan,119490.93,60514.23,0.692,15,False,0.32121,0.58,65232.36,44
L00047,C00047,SME loan,36240.29,21106.47,0.967,0,False,0.10138,0.5777,24889.93,13
L00048,C00048,mortgage,79026.94,36080.89,0.491,0,False,0.06689,0.22,36939.81,43
L00049,C00049,mortgage,14349.01,3398.21,0.539,0,False,0.02172,0.22,3617.22,47
L00050,C00050,personal loan,35285.46,12206.01,0.546,0,False,0.01707,0.58,14052.36,23
L00051,C00051,personal loan,140007.61,74122.91,0.305,31,False,0.14065,0.58,79393.68,3
L00052,C00052,credit card,72073.65,25686.26,0.941,0,False,0.01563,0.8058,51199.32,25
L00053,C00053,mortgage,131579.5,65860.45,0.828,0,False,0.09915,0.2552,67174.84,47
L00054,C00054,mortgage,34035.47,10908.99,0.505,0,False,0.02894,0.22,11371.52,28
L00055,C00055,credit card,42048.35,28821.51,0.739,0,False,0.04344,0.72,36096.27,21
L00056,C00056,personal loan,14578.77,10393.59,0.78,0,False,0.04302,0.5936,10728.4,50
L00057,C00057,personal loan,49056.08,48601.58,0.673,0,False,,0.58,48637.94,40
L00058,C00058,credit card,89814.27,48787.47,0.424,0,False,0.13276,0.72,71352.21,51
L00059,C00059,credit card,41885.83,32365.83,0.95,0,False,0.02377,0.8099,37601.83,40
L00060,C00060,SME loan,52886.22,12291.66,0.652,0,False,0.02105,0.48,22440.3,0
L00061,C00061,personal loan,24777.03,20361.55,0.877,0,False,0.47281,0.6369,20714.79,23
L00062,C00062,mortgage,26615.57,11496.64,0.431,0,False,0.0104,0.22,11799.02,68
L00063,C00063,mortgage,49606.19,44329.28,0.295,0,False,0.46963,0.22,44434.82,67
L00064,C00064,personal loan,86562.87,22226.62,0.855,0,False,0.10504,0.6275,27373.52,15
L00065,C00065,credit card,37889.05,9417.82,0.367,0,False,0.01164,0.72,25077.0,47
L00066,C00066,personal loan,82136.25,49472.27,0.703,5,False,0.27671,0.58,52085.39,4
L00067,C00067,SME loan,113961.36,30901.95,0.496,0,False,0.17686,0.48,51666.8,61
L00068,C00068,credit card,34869.77,32552.36,0.752,0,False,0.11764,0.7209,33826.94,45
L00069,C00069,personal loan,21352.1,17379.92,0.422,0,False,0.00969,0.58,17697.7,49
L00070,C00070,mortgage,9685.39,2577.23,0.775,0,False,0.17112,0.2314,2719.4,16
L00071,C00071,personal loan,58748.96,39629.79,1.111,15,False,0.04153,0.7422,41159.32,19
L00072,C00072,SME loan,28979.99,26873.9,0.669,0,False,,0.48,27400.42,74
L00073,C00073,SME loan,52344.18,50713.3,0.938,0,False,0.13749,0.5645,51121.02,0
L00074,C00074,credit card,30238.29,29495.84,0.96,0,False,,0.8145,29904.19,15
L00075,C00075,credit card,41011.94,26950.88,0.588,95,True,0.5,0.72,34684.46,63
L00076,C00076,credit card,64753.0,18707.32,0.809,31,False,0.07384,0.7466,44032.45,26
L00077,C00077,credit card,37734.54,20076.68,0.63,5,False,0.0383,0.72,29788.5,0
L00078,C00078,credit card,102822.71,23142.66,0.592,15,False,0.56761,0.72,66966.69,0
L00079,C00079,personal loan,27754.36,15435.21,0.804,0,False,0.06865,0.6043,16420.74,37
L00080,C00080,personal loan,30995.82,26836.3,0.719,0,False,0.10177,0.58,27169.06,66
L00081,C00081,personal loan,36505.98,31305.73,0.786,0,False,0.02552,0.5964,31721.75,56
L00082,C00082,SME loan,66975.3,15470.58,0.602,0,False,0.1356,0.48,28346.76,39
L00083,C00083,credit card,22234.04,15947.92,0.765,0,False,0.01093,0.7267,19405.28,52
L00084,C00084,credit card,112371.54,32010.4,0.856,0,False,0.07972,0.7677,76209.03,14
L00085,C00085,personal loan,13483.07,12039.69,0.699,0,False,0.1599,0.58,12155.16,72
L00086,C00086,personal loan,43213.02,42489.3,0.794,0,False,0.06806,0.5999,42547.2,25
L00087,C00087,credit card,62916.4,21259.45,0.291,0,False,0.0936,0.72,44170.77,35
L00088,C00088,credit card,16536.38,14591.18,0.75,31,False,0.50112,0.72,15661.04,11
L00089,C00089,mortgage,63813.33,51487.79,0.204,0,False,0.04197,0.22,51734.3,54
L00090,C00090,SME loan,89039.85,26478.31,0.542,0,False,0.07226,0.48,42118.7,10
L00091,C00091,mortgage,58014.71,41835.59,0.707,0,False,0.17701,0.22,42159.17,38
L00092,C00092,credit card,46658.89,15589.42,0.601,15,False,0.15057,0.72,32677.63,36
L00093,C00093,personal loan,45951.51,19199.24,0.413,61,False,0.48212,0.58,21339.42,69
L00094,C00094,mortgage,48294.94,45787.85,0.754,0,False,0.06297,0.2219,45837.99,7
L00095,C00095,SME loan,97420.28,88990.72,0.866,0,False,0.08337,0.5323,91098.11,25
L00096,C00096,credit card,40540.39,36535.24,0.58,0,False,0.05009,0.72,38738.07,74
L00097,C00097,mortgage,34372.27,29228.02,0.803,0,False,0.00905,0.2439,29330.91,60
L00098,C00098,credit card,91715.12,53598.48,0.972,0,False,0.03946,0.82,74562.63,30
L00099,C00099,credit card,75131.86,65961.24,0.55,5,False,0.04027,0.72,71005.08,24
L00100,C00100,personal loan,104760.92,58994.73,0.52,0,False,0.13173,0.58,62656.03,50
L00101,C00101,SME loan,21609.08,16959.14,1.009,0,False,0.04555,0.5966,18121.63,72
L00102,C00102,SME loan,109569.62,105263.39,0.957,0,False,0.10156,0.573,106339.94,26
L00103,C00103,mortgage,43281.92,23353.62,0.796,5,False,0.1479,0.2409,23752.19,7
L00104,C00104,credit card,25154.41,18758.68,0.355,95,True,0.06251,0.72,22276.33,32
L00105,C00105,mortgage,85209.12,73347.8,1.115,0,False,0.19662,0.384,73585.03,59
L00106,C00106,mortgage,62307.04,29970.26,0.683,0,False,0.071,0.22,30617.0,58
L00107,C00107,credit card,22463.24,18848.45,0.804,0,False,0.0624,0.7443,20836.58,30
L00108,C00108,SME loan,41380.01,34375.66,0.66,0,False,0.03512,0.48,36126.75,22
L00109,C00109,personal loan,77665.31,63634.65,0.603,0,False,0.06548,0.58,64757.1,44
L00110,C00110,mortgage,13682.3,6624.68,0.402,0,False,0.05263,0.22,6765.83,22
L00111,C00111,mortgage,72601.06,35591.16,0.448,0,False,0.03906,0.22,36331.35,8
L00112,C00112,personal loan,42164.13,33776.54,0.51,5,False,0.47888,0.58,34447.55,42
L00113,C00113,credit card,71026.24,56650.25,0.515,0,False,0.034,0.72,64557.04,3
L00114,C00114,SME loan,9861.63,4108.44,0.413,0,False,0.02927,0.48,5546.74,57
L00115,C00115,credit card,154931.64,103798.23,0.616,0,False,0.04383,0.72,131921.6,54
L00116,C00116,SME loan,31536.47,14905.51,0.829,0,False,0.12954,0.5155,19063.25,0
L00117,C00117,credit card,32179.17,21942.86,0.612,15,False,0.02975,0.72,27572.84,13
L00118,C00118,personal loan,41240.95,30877.43,0.674,0,False,0.07811,0.58,31706.51,10
L00119,C00119,SME loan,72794.85,48707.13,0.997,0,False,0.03022,0.5911,54729.06,48
L00120,C00120,credit card,44245.49,17672.4,0.199,0,False,0.07144,0.72,32287.6,55
L00121,C00121,personal loan,150093.9,58268.87,0.716,0,False,0.01578,0.58,65614.87,41
L00122,C00122,credit card,41375.8,19607.32,0.832,0,False,0.18238,0.7568,31579.98,71
L00123,C00123,credit card,160204.07,70420.32,0.694,0,False,0.05217,0.72,119801.39,20
L00124,C00124,personal loan,42348.81,23243.5,0.279,0,False,0.13472,0.58,24771.93,26
L00125,C00125,personal loan,49247.2,34608.74,0.52,0,False,0.02411,0.58,35779.81,12
L00126,C00126,SME loan,15580.86,13923.42,0.69,31,False,0.04908,0.48,14337.78,54
L00127,C00127,personal loan,27453.97,18404.87,0.57,61,False,0.08206,0.58,19128.8,46
L00128,C00128,personal loan,60613.21,16845.92,0.751,5,False,0.07348,0.5807,20347.3,74
L00129,C00129,SME loan,17212.55,15315.56,0.589,0,False,0.0799,0.48,15789.81,52
L00130,C00130,SME loan,165464.16,81460.37,0.459,0,False,0.03677,0.48,102461.31,9
L00131,C00131,credit card,57219.77,55083.88,0.517,5,False,0.10235,0.72,56258.62,33
L00132,C00132,personal loan,37910.22,26679.46,0.431,0,False,0.09924,0.58,27577.92,16
L00133,C00133,mortgage,45962.51,11793.98,0.64,0,False,0.05122,0.22,12477.35,54
L00134,C00134,mortgage,163645.73,45798.79,0.801,0,False,0.0324,0.243,48155.72,67
L00135,C00135,mortgage,86075.73,60915.57,0.601,0,False,0.16294,0.22,61418.77,50
L00136,C00136,mortgage,12481.76,4635.35,0.737,0,False,0.0882,0.22,4792.28,44
L00137,C00137,credit card,36264.27,31782.42,0.567,0,False,0.33367,0.72,34247.44,59
L00138,C00138,mortgage,94978.61,63176.65,0.676,0,False,0.0836,0.22,63812.69,7
L00139,C00139,mortgage,26560.01,10772.33,0.682,15,False,0.05212,0.22,11088.09,42
L00140,C00140,personal loan,63414.15,40690.11,0.344,0,False,0.03397,0.58,42508.03,20
L00141,C00141,credit card,9541.17,5025.26,0.855,0,False,0.02313,0.7674,7509.01,72
L00142,C00142,mortgage,32085.25,15049.66,0.913,95,True,0.10884,0.2935,15390.38,64
L00143,C00143,mortgage,53071.66,50234.0,0.513,0,False,0.04728,0.22,50290.75,1
L00144,C00144,SME loan,82686.32,31901.54,0.538,0,False,0.03012,0.48,44597.74,61
L00145,C00145,credit card,34625.58,16593.01,0.581,0,False,0.02666,0.72,26510.92,74
L00146,C00146,SME loan,95530.22,34616.0,0.393,0,False,0.04443,0.48,49844.55,43
L00147,C00147,mortgage,16778.52,16351.44,0.459,31,False,0.02141,0.22,16359.98,8
L00148,C00148,credit card,42848.47,24604.12,0.566,0,False,0.03692,0.72,34638.51,14
L00149,C00149,mortgage,55978.19,33130.68,0.359,0,False,0.06911,0.22,33587.63,24
L00150,C00150,credit card,15802.99,12033.84,0.494,5,False,0.06214,0.72,14106.87,27
L00151,C00151,credit card,124331.66,120003.16,0.831,0,False,0.02702,0.7566,122383.84,44
L00152,C00152,mortgage,60479.64,37099.48,0.614,0,False,0.10384,0.22,37567.09,18
L00153,C00153,mortgage,22083.96,16098.7,0.543,5,False,0.02102,0.22,16218.4,27
L00154,C00154,credit card,73012.08,72201.6,0.623,61,False,0.21034,0.72,72647.37,60
L00155,C00155,personal loan,26826.77,21405.21,0.972,0,False,0.16049,0.6801,21838.94,15
L00156,C00156,personal loan,30654.99,29856.98,0.804,0,False,0.01203,0.6041,29920.82,28
L00157,C00157,credit card,18260.76,6404.76,0.339,95,True,0.0898,0.72,12925.56,40
L00158,C00158,credit card,37780.58,22045.39,0.73,5,False,0.47784,0.72,30699.75,6
L00159,C00159,credit card,10063.16,2335.58,0.726,5,False,0.01808,0.72,6585.75,38
L00160,C00160,credit card,57254.56,48145.94,0.372,0,False,0.01791,0.72,53155.68,47
L00161,C00161,SME loan,186009.67,114305.52,0.863,0,False,0.0405,0.531,132231.55,74
L00162,C00162,SME loan,35548.48,7997.77,0.648,31,False,0.08374,0.48,14885.45,52
L00163,C00163,personal loan,9320.61,8991.03,0.454,0,False,0.02888,0.58,9017.4,18
L00164,C00164,mortgage,34690.96,19734.91,0.646,0,False,0.08749,0.22,20034.03,72
L00165,C00165,SME loan,46617.24,33467.47,0.426,0,False,0.07691,0.48,36754.91,40
L00166,C00166,personal loan,54683.32,53891.84,0.772,0,False,0.03788,0.5901,53955.16,14
L00167,C00167,credit card,46736.97,30785.55,0.563,0,False,0.03174,0.72,39558.83,56
L00168,C00168,mortgage,146664.62,133983.72,0.52,0,False,0.03762,0.22,134237.34,24
L00169,C00169,mortgage,42791.02,40311.42,0.506,0,False,0.08034,0.22,40361.01,63
L00170,C00170,personal loan,36834.9,20309.29,0.692,61,False,0.12344,0.58,21631.34,63
L00171,C00171,personal loan,63016.16,40658.16,0.713,0,False,0.0514,0.58,42446.8,56
L00172,C00172,mortgage,67512.14,31671.45,0.489,0,False,0.2049,0.22,32388.26,50
L00173,C00173,SME loan,42023.38,14353.13,0.243,0,False,0.12562,0.48,21270.7,37
L00174,C00174,personal loan,41116.59,34086.74,0.526,0,False,0.031,0.58,34649.12,43
L00175,C00175,mortgage,30662.25,28345.58,0.582,0,False,0.22799,0.22,28391.92,29
L00176,C00176,mortgage,82862.85,72406.85,0.692,15,False,0.07956,0.22,72615.97,70
L00177,C00177,mortgage,15997.77,15515.55,0.602,5,False,0.15346,0.22,15525.19,29
L00178,C00178,personal loan,53317.31,37770.07,0.704,0,False,0.01593,0.58,39013.85,6
L00179,C00179,credit card,92878.0,67943.79,0.844,31,False,0.33878,0.7622,81657.61,34
L00180,C00180,credit card,47058.56,39568.29,0.533,5,False,0.06295,0.72,43687.94,42
L00181,C00181,personal loan,13979.04,8896.38,0.585,0,False,0.06656,0.58,9302.99,70
L00182,C00182,credit card,43534.0,10224.19,0.571,0,False,0.03885,0.72,28544.59,10
L00183,C00183,personal loan,82732.16,77250.28,0.551,0,False,0.02296,0.58,77688.83,73
L00184,C00184,mortgage,57734.62,40385.6,0.726,0,False,0.04857,0.22,40732.58,66
L00185,C00185,personal loan,22454.71,14227.06,0.723,0,False,0.01027,0.58,14885.28,35
L00186,C00186,mortgage,254111.74,183543.09,0.955,0,False,0.27039,0.3123,184954.47,0
L00187,C00187,mortgage,95805.07,27839.32,0.759,5,False,0.1911,0.2242,29198.63,43
L00188,C00188,mortgage,54709.11,25383.31,0.637,61,False,0.1171,0.22,25969.82,25
L00189,C00189,mortgage,360940.04,128282.04,0.403,0,False,0.0127,0.22,132935.2,22
L00190,C00190,personal loan,39707.29,22875.54,0.872,0,False,0.00567,0.6347,24222.08,44
L00191,C00191,personal loan,16501.17,13155.42,0.597,0,False,0.07185,0.58,13423.08,0
L00192,C00192,SME loan,43461.76,10822.84,0.671,0,False,0.11375,0.48,18982.57,22
L00193,C00193,personal loan,51461.57,37058.06,1.146,0,False,0.11495,0.7582,38210.34,25
L00194,C00194,credit card,15790.17,4543.35,0.598,0,False,0.02016,0.72,10729.1,38
L00195,C00195,SME loan,80648.15,77423.1,0.779,5,False,,0.4931,78229.36,65
L00196,C00196,personal loan,99649.17,46294.46,0.616,0,False,0.06829,0.58,50562.84,14
L00197,C00197,mortgage,17591.53,11719.33,0.859,0,False,0.30998,0.2689,11836.78,6
L00198,C00198,mortgage,30665.94,10729.84,0.789,15,False,0.03292,0.2374,11128.56,15
L00199,C00199,credit card,20279.51,8479.9,0.869,0,False,0.15816,0.7734,14969.68,43
L00200,C00200,credit card,19147.74,11770.36,0.452,5,False,0.04069,0.72,15827.92,17
L00201,C00201,personal loan,67304.58,50741.87,0.762,5,False,0.00714,0.5855,52066.88,7
L00202,C00202,credit card,52309.95,13555.76,0.716,0,False,0.02374,0.72,34870.56,24
L00203,C00203,mortgage,41797.28,30549.34,0.758,0,False,0.02165,0.2238,30774.3,38
L00204,C00204,SME loan,61195.01,15583.17,0.362,0,False,0.08128,0.48,26986.13,71
L00205,C00205,credit card,37052.87,35724.92,0.703,0,False,0.16541,0.72,36455.29,42
L00206,C00206,personal loan,30637.8,16492.22,0.723,0,False,0.05432,0.58,17623.87,6
L00207,C00207,credit card,36756.85,11488.84,0.82,0,False,0.0797,0.7516,25386.25,68
L00208,C00208,personal loan,40954.19,21387.28,0.861,15,False,0.25877,0.63,22952.63,29
L00209,C00209,personal loan,49656.22,48018.03,0.469,0,False,0.00777,0.58,48149.09,51
L00210,C00210,personal loan,70824.23,47586.34,0.373,31,False,0.23753,0.58,49445.37,25
L00211,C00211,mortgage,28901.52,20704.65,1.016,61,False,0.19651,0.3396,20868.58,64
L00212,C00212,credit card,39676.08,19939.59,0.538,0,False,0.0612,0.72,30794.66,47
L00213,C00213,SME loan,32356.98,8621.62,0.921,0,False,0.06111,0.5568,14555.46,50
L00214,C00214,personal loan,31217.15,12463.62,0.952,0,False,0.0201,0.6709,13963.9,66
L00215,C00215,mortgage,86571.78,36981.82,0.835,0,False,0.05916,0.2584,37973.62,22
L00216,C00216,credit card,29408.49,8208.72,0.9,0,False,0.02308,0.7877,19868.59,41
L00217,C00217,personal loan,43821.47,29869.61,0.62,0,False,0.11311,0.58,30985.76,42
L00218,C00218,mortgage,23475.88,12627.16,0.692,0,False,0.10782,0.22,12844.13,46
L00219,C00219,personal loan,81331.44,45703.46,0.822,0,False,0.07147,0.6126,48553.69,8
L00220,C00220,mortgage,108312.01,64674.76,0.566,0,False,0.14286,0.22,65547.5,46
L00221,C00221,credit card,55389.1,19334.04,0.532,5,False,0.10648,0.72,39164.32,46
L00222,C00222,personal loan,197670.19,169592.78,0.594,61,False,0.21717,0.58,171838.98,73
L00223,C00223,credit card,10739.2,9228.88,0.32,5,False,0.15603,0.72,10059.56,67
L00224,C00224,mortgage,29737.17,13153.85,0.789,0,False,0.14918,0.2377,13485.51,52
L00225,C00225,mortgage,78575.03,40591.04,0.656,0,False,0.03131,0.22,41350.72,65
L00226,C00226,credit card,15954.97,8865.28,0.958,0,False,0.22581,0.8137,12764.61,38
L00227,C00227,personal loan,43415.2,33002.46,0.752,0,False,0.21019,0.5809,33835.48,2
L00228,C00228,credit card,51604.01,47286.62,0.995,0,False,0.02173,0.8304,49661.19,51
L00229,C00229,mortgage,40969.7,23829.39,0.859,0,False,0.03326,0.269,24172.2,0
L00230,C00230,mortgage,47439.7,29771.15,0.769,95,True,0.31259,0.2288,30124.52,62
L00231,C00231,SME loan,90361.95,63259.81,0.909,0,False,0.02473,0.5515,70035.34,72
L00232,C00232,mortgage,106923.56,51231.48,0.417,0,False,0.00983,0.22,52345.33,29
L00233,C00233,personal loan,17742.25,5996.59,0.87,0,False,0.02871,0.6339,6936.24,53
L00234,C00234,mortgage,18915.31,17796.34,0.66,0,False,0.04843,0.22,17818.72,44
L00235,C00235,mortgage,67484.8,54641.7,0.453,61,False,0.25164,0.22,54898.56,0
L00236,C00236,mortgage,21006.42,9872.3,0.446,0,False,0.12255,0.22,10094.98,34
L00237,C00237,credit card,194007.35,187958.06,0.827,0,False,0.06193,0.7546,191285.17,4
L00238,C00238,mortgage,45509.92,44310.96,0.717,15,False,0.07505,0.22,44334.94,9
L00239,C00239,personal loan,57870.22,52626.61,0.583,0,False,0.01962,0.58,53046.1,44
L00240,C00240,personal loan,43169.2,38011.57,0.255,0,False,,0.58,38424.18,4
L00241,C00241,SME loan,37615.64,28146.76,0.655,0,False,0.0268,0.48,30513.98,19
L00242,C00242,SME loan,28929.92,15831.26,0.771,0,False,0.03708,0.4893,19105.92,63
L00243,C00243,personal loan,165276.85,89903.49,0.463,0,False,0.06128,0.58,95933.36,27
L00244,C00244,credit card,63738.9,62731.51,0.557,130,True,0.12984,0.72,63285.57,40
L00245,C00245,personal loan,11468.77,6895.47,0.484,0,False,0.14416,0.58,7261.33,36
L00246,C00246,mortgage,30996.05,18874.26,0.874,0,False,0.27052,0.2756,19116.7,12
L00247,C00247,mortgage,71825.92,31309.13,0.673,0,False,0.00753,0.22,32119.46,62
L00248,C00248,mortgage,66315.63,20444.96,0.59,0,False,0.02491,0.22,21362.37,63
L00249,C00249,personal loan,118699.19,110663.88,0.45,0,False,0.11122,0.58,111306.71,27
L00250,C00250,personal loan,59486.5,36418.32,1.02,5,False,0.17284,0.7016,38263.77,16
L00251,C00251,personal loan,40813.86,30594.86,0.543,0,False,0.03452,0.58,31412.38,73
L00252,C00252,personal loan,43221.46,9903.1,0.832,0,False,0.04194,0.6171,12568.57,50
L00253,C00253,personal loan,60468.5,43707.51,0.854,0,True,0.05374,0.6269,45048.39,71
L00254,C00254,mortgage,72524.64,56965.51,0.609,0,False,0.01003,0.22,57276.69,5
L00255,C00255,SME loan,30920.97,9880.91,0.784,31,False,0.49156,0.4952,15140.92,37
L00256,C00256,personal loan,38768.1,22334.08,0.662,31,False,0.51117,0.58,23648.8,74
L00257,C00257,mortgage,73874.34,43277.06,0.494,0,False,0.03228,0.22,43889.01,68
L00258,C00258,personal loan,54369.98,19320.88,0.518,0,False,0.0377,0.58,22124.81,38
L00259,C00259,personal loan,45453.11,34244.8,0.647,95,True,0.46359,0.58,35141.47,1
L00260,C00260,credit card,89706.92,68480.19,0.9,0,False,0.03861,0.7873,80154.89,70
L00261,C00261,credit card,28748.48,24071.41,0.605,0,False,0.02259,0.72,26643.8,31
L00262,C00262,personal loan,75759.45,29381.95,0.692,5,False,0.04976,0.58,33092.15,35
L00263,C00263,mortgage,118287.96,111183.55,0.847,0,False,0.05758,0.2635,111325.64,74
L00264,C00264,SME loan,48766.58,34778.51,0.874,0,False,0.16953,0.5359,38275.53,18
L00265,C00265,credit card,45938.5,41582.31,0.439,0,False,0.03868,0.72,43978.22,49
L00266,C00266,mortgage,22899.09,7118.66,1.181,0,False,0.0614,0.414,7434.27,23
L00267,C00267,mortgage,37641.58,13568.88,0.858,0,False,0.0195,0.2685,14050.34,0
L00268,C00268,personal loan,30446.07,20164.29,0.611,0,False,0.01396,0.58,20986.83,63
L00269,C00269,credit card,100698.0,24396.53,0.749,0,False,0.04604,0.72,66362.34,21
L00270,C00270,SME loan,40640.52,33399.61,0.929,0,False,0.10207,0.5607,35209.83,31
L00271,C00271,mortgage,39936.2,15256.64,0.53,0,False,0.03742,0.22,15750.23,30
L00272,C00272,credit card,106746.9,94477.38,0.623,0,False,0.15883,0.72,101225.62,74
L00273,C00273,SME loan,46375.11,22461.36,0.566,0,False,0.02485,0.48,28439.8,21
L00274,C00274,personal loan,72930.32,61773.57,0.406,0,False,0.00781,0.58,62666.11,45
L00275,C00275,credit card,37845.56,14813.8,0.599,0,False,0.052,0.72,27481.27,47
L00276,C00276,mortgage,64761.23,49670.25,0.629,5,False,0.04561,0.22,49972.07,7
L00277,C00277,personal loan,43188.16,11043.86,0.444,0,False,0.01309,0.58,13615.4,55
L00278,C00278,mortgage,123743.47,59161.51,0.654,5,False,0.08868,0.22,60453.15,19
L00279,C00279,personal loan,57926.76,30754.6,0.685,0,False,0.0064,0.58,32928.37,10
L00280,C00280,mortgage,17841.94,15874.19,0.605,0,False,0.05625,0.22,15913.54,67
L00281,C00281,credit card,34519.89,24301.48,0.791,0,False,0.04136,0.7386,29921.61,53
L00282,C00282,personal loan,19737.6,4928.65,0.452,0,False,0.07186,0.58,6113.37,52
L00283,C00283,credit card,72285.06,44980.89,0.771,0,False,0.12688,0.7293,59998.18,73
L00284,C00284,personal loan,86350.59,48320.33,0.05,0,False,0.06113,0.58,51362.75,27
L00285,C00285,personal loan,58993.17,18388.2,1.091,15,False,0.02779,0.7333,21636.6,60
L00286,C00286,personal loan,34072.49,14900.48,0.669,0,False,0.02339,0.58,16434.24,45
L00287,C00287,mortgage,21591.15,10748.68,0.571,0,False,0.02563,0.22,10965.53,6
L00288,C00288,credit card,47415.43,23820.34,0.787,0,False,0.15406,0.7364,36797.64,35
L00289,C00289,SME loan,30334.25,11440.27,0.637,0,False,0.04607,0.48,16163.77,74
L00290,C00290,mortgage,95756.87,72931.01,0.625,0,False,0.00476,0.22,73387.53,19
L00291,C00291,mortgage,37019.47,9887.0,0.664,5,False,0.11736,0.22,10429.65,64
L00292,C00292,mortgage,68118.23,21990.37,0.783,0,False,0.24636,0.2349,22912.93,51
L00293,C00293,mortgage,34702.38,32497.0,0.451,0,False,0.06513,0.22,32541.1,64
L00294,C00294,personal loan,107748.96,49556.95,0.807,0,False,0.06513,0.6057,54212.31,14
