transaction_id,customer_id,amount,merchant_category,hour,country_risk,device_mismatch,velocity_24h,round_amount,rapid_in_out,fraud_label
T000060,C00334,670.88,travel,3,standard,False,0,False,False,False
T000061,C00331,194.94,travel,9,standard,False,1,False,False,False
T000062,C00736,211.1,groceries,11,standard,False,2,False,False,False
T000063,C00247,5.54,cash,10,standard,False,3,False,False,False
T000064,C00523,507.29,utilities,3,standard,False,3,False,False,False
T000065,C00373,79.34,utilities,9,standard,False,4,False,False,False
T000066,C00374,17.63,crypto,19,high,False,3,False,True,False
T000067,C00081,106.21,groceries,15,standard,False,1,False,False,False
T000068,C00625,307.53,cash,17,standard,False,3,False,False,True
T000069,C00596,13.51,groceries,4,standard,False,2,False,False,False
T000070,C00572,238.91,groceries,6,high,False,2,False,False,False
T000071,C00703,53.32,electronics,13,standard,False,1,False,False,False
T000072,C00333,41.09,crypto,6,standard,False,0,False,False,False
T000073,C00503,47.99,utilities,4,standard,True,5,False,False,False
T000074,C00461,31.04,crypto,12,standard,False,2,False,False,False
T000075,C00026,93.81,cash,19,standard,False,4,False,False,False
T000076,C00209,98.88,electronics,15,standard,False,2,False,True,False
T000077,C00468,231.56,groceries,19,high,False,3,False,False,False
T000078,C00312,340.44,utilities,18,standard,False,0,False,False,False
T000079,C00707,53.42,crypto,11,standard,False,4,False,False,False
T000080,C00270,240.15,electronics,14,standard,False,2,False,False,False
T000081,C00392,21.62,utilities,5,standard,True,2,False,True,False
T000082,C00409,149.47,electronics,16,standard,False,2,False,False,False
T000083,C00058,23.17,utilities,22,standard,True,2,False,False,True
T000084,C00717,41.15,groceries,14,standard,False,1,False,False,False
T000085,C00626,144.05,utilities,9,standard,True,1,False,False,False
T000086,C00721,34.06,cash,5,standard,False,0,False,False,False
T000087,C00175,127.19,travel,20,standard,False,1,False,False,False
T000088,C00201,15.76,utilities,15,high,False,3,False,False,False
T000089,C00284,35.04,groceries,5,standard,False,1,False,False,False
T000090,C00155,132.74,groceries,19,standard,False,1,False,True,False
T000091,C00624,373.72,crypto,7,standard,False,2,False,False,False
T000092,C00364,21.69,travel,15,standard,False,2,False,False,False
T000093,C00646,403.7,travel,9,high,False,1,False,False,False
T000094,C00332,98.99,travel,10,standard,False,2,False,False,False
T000095,C00051,839.26,electronics,6,standard,False,3,False,False,False
T000096,C00590,53.95,electronics,7,standard,False,2,False,False,False
T000097,C00554,43.42,cash,10,standard,False,2,False,False,False
T000098,C00529,105.46,cash,19,standard,False,2,False,False,False
T000099,C00718,23.48,travel,22,standard,True,1,False,False,True
T000100,C00502,85.22,utilities,0,standard,False,2,False,False,False
T000101,C00281,69.54,electronics,3,standard,False,0,False,False,False
T000102,C00464,306.57,utilities,10,standard,False,5,False,False,False
T000103,C00596,107.23,travel,9,standard,False,1,False,False,False
T000104,C00731,19.49,groceries,11,standard,False,1,False,False,False
T000105,C00714,18.33,groceries,5,standard,False,2,False,False,False
T000106,C00488,26.71,travel,4,standard,False,3,False,False,False
T000107,C00388,8.21,electronics,7,standard,False,1,False,False,False
T000108,C00233,7.48,electronics,7,standard,True,7,False,False,True
T000109,C00035,714.36,travel,6,standard,False,2,False,False,False
T000110,C00128,30.49,electronics,15,standard,False,4,False,False,False
T000111,C00208,295.34,groceries,7,standard,False,3,False,False,False
T000112,C00648,33.57,utilities,20,standard,False,2,False,False,False
T000113,C00364,48.13,crypto,4,standard,False,0,False,False,False
T000114,C00690,11.9,cash,5,standard,False,2,False,False,False
T000115,C00360,289.1,travel,23,standard,False,2,False,False,False
T000116,C00605,48.81,utilities,13,standard,True,1,False,False,False
T000117,C00246,447.13,utilities,12,standard,False,2,False,False,False
T000118,C00723,35.01,travel,20,standard,False,4,False,False,False
T000119,C00348,297.08,electronics,12,standard,False,1,False,False,False
T000120,C00342,369.55,electronics,21,standard,False,1,False,False,False
T000121,C00124,14.77,crypto,17,standard,False,0,False,False,False
T000122,C00114,121.59,groceries,9,standard,False,2,False,False,False
T000123,C00708,24.5,utilities,17,standard,False,1,False,False,False
T000124,C00220,21.4,electronics,3,standard,False,0,False,False,False
T000125,C00492,84.52,utilities,11,standard,False,1,False,False,False
T000126,C00357,178.21,cash,23,standard,False,4,False,False,False
T000127,C00333,318.68,travel,15,standard,False,1,False,False,False
T000128,C00539,51.27,groceries,7,standard,False,4,False,False,False
T000129,C00373,216.23,crypto,1,standard,False,1,False,True,True
T000130,C00190,135.93,groceries,0,high,False,5,False,False,False
T000131,C00334,73.09,cash,3,standard,True,4,False,False,False
T000132,C00177,26.56,utilities,12,standard,False,3,False,False,False
T000133,C00514,77.13,utilities,19,standard,False,0,False,False,False
T000134,C00652,3326.55,electronics,8,high,False,2,False,False,False
T000135,C00500,26.81,electronics,0,high,False,6,False,False,False
T000136,C00259,61.23,travel,20,standard,False,5,False,False,False
T000137,C00413,27.95,travel,10,standard,True,2,False,False,False
T000138,C00238,326.81,electronics,17,standard,False,2,False,False,False
T000139,C00077,521.08,groceries,10,standard,False,1,False,False,False
T000140,C00503,314.56,travel,4,standard,False,1,False,False,False
T000141,C00433,631.2,crypto,13,standard,False,2,False,False,False
T000142,C00516,67.53,crypto,4,standard,False,1,False,False,False
T000143,C00184,452.71,cash,16,standard,False,1,False,False,False
T000144,C00264,29.92,crypto,23,standard,True,1,False,False,False
T000145,C00468,396.54,utilities,11,standard,False,3,False,False,False
T000146,C00522,369.46,crypto,4,standard,False,5,False,False,False
T000147,C00593,37.11,utilities,18,standard,False,2,False,True,False
T000148,C00497,204.18,crypto,23,standard,False,2,False,False,False
T000149,C00621,22.58,travel,1,standard,False,1,False,False,False
T000150,C00414,15.86,utilities,8,standard,False,2,False,False,False
T000151,C00308,16.02,utilities,23,standard,False,0,False,False,False
T000152,C00400,21.88,travel,21,standard,False,1,False,False,False
T000153,C00537,20.98,groceries,10,standard,False,3,False,False,False
T000154,C00592,64.36,crypto,16,standard,False,2,False,False,False
T000155,C00685,485.67,travel,14,standard,True,3,False,False,False
T000156,C00065,54.9,utilities,8,standard,True,2,False,False,False
T000157,C00016,28.67,travel,21,standard,False,3,False,False,False
T000158,C00009,152.23,groceries,22,high,False,1,False,False,False
T000159,C00266,55.18,travel,19,standard,False,2,False,False,False
T000160,C00495,79.86,travel,12,standard,False,0,False,False,False
T000161,C00501,111.33,electronics,22,high,False,2,False,False,False
T000162,C00509,116.37,electronics,10,high,False,4,False,False,False
T000163,C00634,34.07,cash,9,standard,False,2,False,False,False
T000164,C00644,55.08,cash,18,standard,False,2,False,False,False
T000165,C00046,200.15,travel,7,standard,False,1,False,False,False
T000166,C00118,47.79,electronics,2,high,False,1,False,False,False
T000167,C00622,55.38,cash,15,standard,False,3,False,False,False
T000168,C00299,100.79,cash,16,standard,False,3,False,False,False
T000169,C00161,114.35,electronics,11,standard,False,2,False,False,False
T000170,C00659,50.93,cash,1,high,False,2,False,False,False
T000171,C00529,133.45,cash,8,standard,False,2,False,False,False
T000172,C00068,71.56,cash,17,standard,True,3,False,False,True
T000173,C00060,17.12,groceries,7,standard,False,2,False,False,False
T000174,C00213,146.83,groceries,5,high,True,1,False,False,True
T000175,C00584,27.77,utilities,11,standard,False,0,False,False,False
T000176,C00300,2085.26,utilities,8,standard,False,0,False,False,False
T000177,C00087,99.28,utilities,22,standard,False,2,False,False,False
T000178,C00292,53.08,travel,5,standard,False,4,False,False,False
T000179,C00710,184.14,travel,22,standard,False,2,False,True,False
T000180,C00699,361.73,utilities,17,standard,False,0,False,False,False
T000181,C00413,382.59,crypto,1,standard,False,2,False,True,False
T000182,C00395,101.31,travel,22,standard,False,5,False,False,False
T000183,C00070,235.51,utilities,1,standard,False,2,False,False,False
T000184,C00643,157.66,crypto,20,high,False,2,False,False,False
T000185,C00030,80.38,crypto,13,high,False,2,False,False,False
T000186,C00064,13.82,utilities,13,standard,False,3,False,False,False
T000187,C00555,74.72,travel,22,standard,False,3,False,False,True
T000188,C00463,4.33,electronics,20,standard,False,3,False,False,False
T000189,C00553,27.52,travel,6,standard,False,3,False,False,False
T000190,C00065,325.87,groceries,15,standard,False,1,False,False,False
T000191,C00151,88.76,utilities,2,standard,False,4,False,False,False
T000192,C00615,69.55,cash,17,standard,False,1,False,False,False
T000193,C00096,27.93,travel,5,standard,True,2,False,False,False
T000194,C00353,28.49,groceries,10,standard,False,1,False,False,True
T000195,C00682,34.33,electronics,21,standard,False,3,False,False,False
T000196,C00213,15.78,travel,15,standard,False,3,False,False,False
T000197,C00171,5.99,crypto,22,standard,False,5,False,False,False
T000198,C00372,226.25,travel,8,standard,False,0,False,False,False
T000199,C00115,448.58,crypto,22,standard,True,2,False,False,False
T000200,C00217,36.07,groceries,11,high,False,4,False,False,False
T000201,C00158,169.08,utilities,21,standard,False,1,False,True,False
T000202,C00026,18.74,cash,2,standard,False,3,False,False,False
T000203,C00563,106.82,utilities,7,standard,False,2,False,False,False
T000204,C00671,15.83,utilities,20,standard,False,1,False,False,False
T000205,C00322,197.57,groceries,0,standard,True,1,False,False,False
T000206,C00520,76.96,cash,22,standard,False,2,False,False,False
T000207,C00277,17.85,electronics,8,high,True,3,False,False,True
T000208,C00556,132.66,cash,13,standard,False,3,False,False,False
T000209,C00053,445.94,utilities,14,standard,False,1,False,False,False
T000210,C00198,72.98,groceries,1,standard,False,2,False,False,False
T000211,C00276,69.32,crypto,15,standard,False,4,False,False,False
T000212,C00704,73.38,travel,16,standard,False,2,False,False,False
T000213,C00143,83.22,crypto,1,standard,False,2,False,False,False
T000214,C00241,286.75,crypto,8,standard,False,2,False,False,False
T000215,C00368,300.03,travel,16,standard,False,2,False,True,False
T000216,C00481,7.12,cash,10,standard,False,1,False,False,False
T000217,C00342,273.84,electronics,23,standard,False,4,False,False,False
T000218,C00079,57.93,travel,10,standard,False,2,False,False,False
T000219,C00736,453.51,utilities,4,standard,False,1,False,False,False
T000220,C00609,120.28,cash,0,high,False,2,False,False,False
T000221,C00585,209.01,groceries,0,high,False,2,False,False,False
T000222,C00462,41.14,cash,15,standard,True,1,False,False,True
T000223,C00380,16.59,electronics,1,standard,False,8,False,False,False
T000224,C00635,94.35,utilities,18,standard,False,4,False,False,False
T000225,C00462,209.37,groceries,22,standard,False,3,False,False,False
T000226,C00413,162.86,electronics,10,high,False,1,False,False,False
T000227,C00266,171.44,cash,18,standard,False,1,False,False,False
T000228,C00582,92.85,utilities,9,high,False,0,False,False,False
T000229,C00164,159.74,crypto,5,standard,False,3,False,False,False
T000230,C00181,29.17,groceries,3,standard,False,3,False,False,False
T000231,C00197,61.77,utilities,2,standard,False,2,False,False,False
T000232,C00694,13.02,electronics,14,standard,False,2,False,False,False
T000233,C00299,68.11,cash,0,standard,False,2,False,False,False
T000234,C00578,51.36,crypto,13,standard,False,3,False,False,False
T000235,C00175,76.65,electronics,7,standard,False,5,False,False,False
T000236,C00298,227.95,cash,23,standard,True,1,False,False,True
T000237,C00000,77.48,groceries,14,standard,False,0,False,False,False
T000238,C00224,2.95,travel,16,standard,False,4,False,False,False
T000239,C00068,327.09,electronics,23,high,False,4,False,True,False
T000240,C00593,85.53,crypto,19,standard,False,3,False,False,False
T000241,C00181,170.03,travel,18,standard,False,3,False,False,False
T000242,C00368,30.2,travel,15,standard,False,2,False,False,False
T000243,C00326,179.77,groceries,2,standard,False,2,False,False,False
T000244,C00508,391.4,groceries,5,standard,False,1,False,False,False
T000245,C00234,12.16,groceries,21,standard,False,3,False,False,False
T000246,C00298,279.96,travel,10,standard,False,2,False,False,False
T000247,C00184,25.78,travel,22,standard,False,2,False,False,False
T000248,C00158,30.93,utilities,12,standard,False,4,False,False,False
T000249,C00581,72.37,travel,18,standard,False,3,False,False,False
T000250,C00094,720.16,travel,7,standard,False,3,False,False,False
T000251,C00250,9.85,electronics,1,standard,False,3,False,False,False
T000252,C00451,35.72,electronics,14,standard,False,1,False,True,False
T000253,C00469,75.64,electronics,15,standard,False,1,False,False,False
T000254,C00438,148.15,crypto,7,standard,False,1,False,False,False
T000255,C00018,63.73,crypto,19,standard,False,1,False,True,False
T000256,C00383,115.98,cash,1,standard,False,2,False,False,False
T000257,C00409,23.07,utilities,2,standard,False,0,False,False,False
T000258,C00535,169.4,electronics,2,high,False,1,False,True,False
T000259,C00625,231.16,utilities,15,standard,False,3,False,False,False
T000260,C00012,21.42,cash,16,standard,False,3,False,False,False
T000261,C00605,30.3,crypto,17,high,False,1,False,False,False
T000262,C00456,112.02,travel,2,standard,False,1,False,False,False
T000263,C00123,104.43,utilities,1,standard,False,1,False,False,False
T000264,C00279,129.74,utilities,18,standard,False,4,False,False,False
T000265,C00608,18.78,crypto,5,high,False,3,False,False,False
T000266,C00277,46.9,cash,22,standard,True,1,False,False,False
T000267,C00177,42.12,electronics,16,standard,True,1,False,True,False
T000268,C00251,324.77,crypto,0,standard,False,2,False,False,False
T000269,C00258,65.31,crypto,22,standard,False,0,False,False,False
T000270,C00680,41.49,utilities,12,standard,False,2,False,False,False
T000271,C00518,26.6,crypto,9,standard,False,1,False,False,False
T000272,C00160,72.58,crypto,18,standard,False,1,False,False,False
T000273,C00142,271.56,cash,5,standard,False,3,False,False,False
T000274,C00284,13.0,crypto,18,standard,False,3,False,False,False
T000275,C00227,82.42,travel,5,standard,False,1,False,False,False
T000276,C00441,127.54,cash,19,standard,False,1,False,False,False
T000277,C00004,658.04,utilities,12,high,False,2,False,False,False
T000278,C00349,154.29,crypto,16,standard,False,2,False,False,False
T000279,C00267,325.39,utilities,15,high,False,0,False,False,False
T000280,C00575,76.25,cash,11,standard,False,4,False,False,False
T000281,C00543,15.55,electronics,23,standard,False,1,False,False,False
T000282,C00697,14.99,cash,19,standard,False,1,False,False,True
T000283,C00107,32.68,crypto,1,standard,True,0,False,False,False
T000284,C00736,84.28,groceries,5,high,False,4,False,False,False
T000285,C00240,52.72,groceries,16,standard,False,1,False,False,False
T000286,C00513,43.18,groceries,3,standard,True,6,False,False,False
T000287,C00402,539.31,travel,0,standard,False,2,False,False,False
T000288,C00590,5.09,cash,16,standard,True,2,False,False,False
T000289,C00647,22.63,electronics,4,standard,False,2,False,False,False
T000290,C00318,1030.29,utilities,11,standard,True,2,False,False,False
T000291,C00165,102.01,cash,1,standard,False,2,False,False,False
T000292,C00629,34.41,cash,12,standard,False,2,False,False,False
T000293,C00602,20.83,electronics,18,standard,False,1,False,False,False
T000294,C00010,176.99,groceries,18,standard,False,1,False,False,False
T000295,C00724,157.33,crypto,2,standard,False,3,False,False,False
T000296,C00746,178.05,cash,4,high,False,2,False,False,False
T000297,C00219,17.18,cash,14,standard,False,3,False,False,False
T000298,C00719,84.09,utilities,15,standard,False,3,False,False,False
T000299,C00459,56.68,crypto,4,standard,False,0,False,True,False
T000300,C00248,118.36,groceries,20,standard,False,2,False,False,False
T000301,C00105,12.04,crypto,7,standard,False,0,False,False,False
T000302,C00292,140.04,electronics,3,standard,False,1,False,False,False
T000303,C00568,397.91,electronics,18,standard,False,0,False,False,False
T000304,C00247,15.82,travel,1,standard,False,2,False,False,False
T000305,C00595,191.4,groceries,18,high,False,1,False,False,False
T000306,C00575,465.3,travel,18,standard,False,4,False,False,False
T000307,C00374,194.29,crypto,5,standard,True,6,False,False,True
T000308,C00595,68.92,electronics,3,standard,False,1,False,False,False
T000309,C00003,84.12,crypto,23,standard,True,3,False,False,True
T000310,C00720,40.4,travel,20,standard,False,3,False,False,False
T000311,C00468,93.17,groceries,16,standard,False,1,False,False,False
T000312,C00464,22.95,crypto,14,high,False,0,False,False,False
T000313,C00286,77.57,groceries,0,standard,False,2,False,True,False
T000314,C00430,28.68,groceries,19,standard,False,3,False,False,False
T000315,C00734,14.55,crypto,22,standard,False,2,False,True,False
T000316,C00067,387.96,electronics,14,standard,False,2,False,False,False
T000317,C00404,9.3,groceries,19,standard,False,2,False,True,False
T000318,C00524,534.31,crypto,5,standard,False,2,False,False,False
T000319,C00019,6.48,crypto,23,standard,False,0,False,False,False
T000320,C00145,207.84,cash,19,standard,False,1,False,False,False
T000321,C00206,90.41,crypto,6,standard,False,1,False,False,False
T000322,C00308,12.11,crypto,19,standard,False,2,False,False,False
T000323,C00068,41.69,travel,15,standard,False,1,False,False,False
T000324,C00292,23.57,travel,22,standard,False,3,False,False,False
T000325,C00530,25.39,travel,9,high,False,1,False,False,False
T000326,C00588,195.94,travel,13,standard,False,0,False,False,False
T000327,C00031,19.79,cash,4,standard,True,4,False,False,False
T000328,C00658,8.6,crypto,0,standard,False,3,False,False,False
T000329,C00514,254.38,cash,17,standard,False,1,False,False,False
T000330,C00662,113.36,utilities,3,high,False,3,False,False,False
T000331,C00180,73.6,crypto,3,high,False,0,False,False,False
T000332,C00248,53.54,cash,21,standard,False,2,False,False,False
T000333,C00206,159.57,cash,11,standard,False,2,False,False,False
T000334,C00182,111.17,travel,15,standard,False,2,False,False,False
T000335,C00736,64.66,crypto,22,standard,False,1,False,False,False
T000336,C00589,38.02,electronics,14,standard,False,3,False,False,False
T000337,C00344,244.45,electronics,22,standard,False,3,False,False,False
T000338,C00712,372.4,groceries,14,standard,False,2,False,False,False
T000339,C00553,124.27,travel,15,standard,False,2,False,False,False
T000340,C00261,2078.48,groceries,0,standard,False,2,False,False,False
T000341,C00310,94.84,cash,6,standard,False,2,False,False,False
T000342,C00115,90.66,cash,9,standard,False,2,False,False,False
T000343,C00527,401.74,electronics,8,high,False,3,False,False,False
T000344,C00428,102.47,cash,22,standard,False,0,False,False,False
T000345,C00478,98.78,cash,5,standard,True,0,False,False,False
T000346,C00383,49.53,groceries,14,high,False,1,False,False,False
T000347,C00076,126.0,cash,12,standard,False,1,False,False,False
T000348,C00103,11.27,electronics,18,high,False,1,False,False,False
T000349,C00551,32.66,cash,1,standard,False,2,False,False,False
T000350,C00402,22.07,travel,15,standard,False,2,False,False,False
T000351,C00219,6.42,groceries,12,standard,False,3,False,False,False
T000352,C00575,249.35,electronics,10,standard,False,1,False,False,False
T000353,C00284,50.93,crypto,11,standard,False,1,False,False,False
T000354,C00401,27.56,electronics,12,standard,False,3,False,False,False
T000355,C00529,112.61,groceries,13,standard,False,2,False,True,False
T000356,C00406,18.34,cash,12,high,False,1,False,False,False
T000357,C00715,201.0,groceries,23,standard,False,3,False,False,False
T000358,C00423,355.43,utilities,3,standard,False,3,False,False,False
T000359,C00571,14.91,crypto,16,standard,True,3,False,False,True
T000360,C00606,277.99,electronics,7,standard,False,3,False,False,False
T000361,C00568,92.72,travel,5,standard,False,0,False,False,False
T000362,C00466,261.94,utilities,7,standard,False,1,False,False,False
T000363,C00711,92.12,cash,6,standard,False,3,False,False,False
T000364,C00727,28.72,groceries,23,standard,False,3,False,False,True
T000365,C00118,12.41,crypto,14,standard,False,2,False,False,False
T000366,C00440,21.32,cash,20,standard,False,3,False,True,False
T000367,C00735,42.13,groceries,11,standard,True,2,False,False,True
T000368,C00051,239.81,utilities,3,standard,False,1,False,False,False
T000369,C00715,150.24,travel,5,standard,True,2,False,False,False
T000370,C00356,103.57,utilities,4,standard,False,1,False,False,False
T000371,C00494,380.55,electronics,1,high,False,4,False,False,False
T000372,C00341,9.46,crypto,20,standard,False,5,False,False,False
T000373,C00255,19.9,electronics,17,standard,False,1,False,False,False
T000374,C00427,20.6,electronics,3,standard,False,2,False,False,False
T000375,C00243,79.76,groceries,20,standard,False,3,False,False,False
T000376,C00388,11.52,utilities,14,standard,False,2,False,False,False
T000377,C00690,38.52,cash,0,standard,False,3,False,False,False
T000378,C00668,340.43,groceries,11,standard,False,0,False,False,False
T000379,C00105,225.94,utilities,23,high,False,0,False,False,False
T000380,C00061,417.23,groceries,8,standard,False,2,False,False,False
T000381,C00320,39.4,crypto,5,standard,True,2,False,False,False
T000382,C00120,23.49,utilities,3,standard,False,0,False,False,False
T000383,C00022,100.29,travel,15,standard,False,2,False,False,False
T000384,C00673,26.5,travel,9,standard,False,3,False,False,False
T000385,C00517,67.26,groceries,13,standard,False,2,False,False,False
T000386,C00289,63.95,travel,23,standard,True,2,False,False,False
T000387,C00719,135.14,crypto,0,standard,False,3,False,False,False
T000388,C00045,370.84,electronics,5,standard,True,3,False,False,False
T000389,C00497,350.38,crypto,4,standard,False,1,False,False,False
T000390,C00648,212.1,cash,19,standard,False,3,False,False,False
T000391,C00356,59.38,travel,11,standard,False,1,False,False,False
T000392,C00112,156.19,crypto,9,standard,True,2,False,True,True
T000393,C00182,48.94,crypto,9,standard,False,1,False,False,False
T000394,C00358,27.03,utilities,14,standard,False,0,False,False,False
T000395,C00603,13.68,travel,21,standard,False,5,False,False,False
T000396,C00518,39.46,crypto,7,standard,False,5,False,False,False
T000397,C00187,131.2,groceries,21,high,False,4,False,False,False
T000398,C00015,161.22,cash,17,standard,False,2,False,False,False
T000399,C00569,78.75,electronics,23,standard,False,0,False,False,False
T000400,C00006,143.88,travel,21,standard,False,4,False,False,False
T000401,C00446,40.07,travel,19,standard,False,2,False,False,False
T000402,C00280,483.27,crypto,15,standard,False,1,False,False,False
T000403,C00670,89.27,groceries,23,standard,True,4,False,False,False
T000404,C00544,52.85,groceries,0,high,False,1,False,False,False
T000405,C00343,158.71,groceries,17,standard,False,3,False,False,False
T000406,C00209,63.72,utilities,1,standard,False,5,False,False,False
T000407,C00369,110.23,groceries,23,high,False,4,False,False,False
T000408,C00012,397.21,cash,3,standard,False,1,False,False,False
T000409,C00619,30.91,electronics,2,standard,False,2,False,False,False
T000410,C00464,55.93,crypto,12,standard,False,1,False,False,False
T000411,C00555,62.59,groceries,17,standard,False,1,False,False,False
T000412,C00071,80.77,crypto,5,standard,False,4,False,False,False
T000413,C00473,636.2,crypto,17,standard,False,4,False,False,False
T000414,C00134,212.21,groceries,0,standard,False,2,False,False,False
T000415,C00515,332.35,cash,11,standard,False,4,False,True,False
T000416,C00330,4.5,utilities,18,standard,False,2,False,False,False
T000417,C00609,136.41,travel,0,standard,False,4,False,False,False
T000418,C00281,107.12,travel,6,standard,False,0,False,False,False
T000419,C00453,143.79,travel,8,standard,False,3,False,False,False
T000420,C00438,80.75,travel,20,standard,False,1,False,False,False
T000421,C00236,37.77,cash,23,standard,False,4,False,False,False
T000422,C00262,174.77,travel,19,high,False,1,False,False,False
T000423,C00496,63.61,crypto,20,standard,False,2,False,False,False
T000424,C00567,78.62,groceries,11,standard,False,2,False,False,False
T000425,C00671,40.65,cash,20,standard,False,2,False,False,False
T000426,C00106,62.94,cash,11,standard,False,2,False,False,False
T000427,C00033,142.2,cash,8,standard,False,1,False,False,False
T000428,C00436,195.74,travel,2,standard,False,0,False,False,False
T000429,C00545,75.89,crypto,11,standard,True,4,False,False,False
T000430,C00541,86.64,electronics,4,standard,False,4,False,False,False
T000431,C00398,62.96,travel,1,standard,True,0,False,False,False
T000432,C00002,211.98,crypto,13,high,False,1,False,False,False
T000433,C00421,48.56,cash,0,standard,False,1,False,False,False
T000434,C00029,56.78,electronics,18,standard,False,3,False,False,False
T000435,C00673,88.51,crypto,13,high,False,2,False,False,False
T000436,C00441,48.78,electronics,14,standard,False,2,False,False,False
T000437,C00619,108.72,utilities,20,standard,False,3,False,False,False
T000438,C00558,488.49,cash,19,standard,False,4,False,False,False
T000439,C00579,77.88,electronics,21,standard,True,4,False,False,False
T000440,C00055,403.96,cash,9,standard,False,2,False,False,False
T000441,C00130,222.43,travel,17,standard,False,3,False,False,False
T000442,C00493,97.05,groceries,1,high,False,2,False,False,False
T000443,C00405,171.85,utilities,4,standard,False,3,False,False,False
T000444,C00118,396.45,groceries,4,standard,False,2,False,False,False
T000445,C00353,31.14,electronics,9,standard,False,0,False,False,False
T000446,C00741,175.12,groceries,4,standard,False,4,False,False,False
T000447,C00222,317.92,crypto,21,standard,False,1,False,False,False
T000448,C00233,35.28,utilities,6,standard,False,1,False,False,False
T000449,C00125,356.67,electronics,11,standard,False,2,False,False,False
T000450,C00664,167.36,cash,17,standard,False,1,False,False,False
T000451,C00146,32.77,travel,3,high,True,2,False,False,False
T000452,C00571,133.88,cash,8,standard,False,1,False,False,False
T000453,C00490,16.66,utilities,0,standard,False,4,False,False,False
